TotalItems,DistinctItems,MaxItems,Entropy,TotalSale,Frequency,CustomerCountry,MonthSale,WeekSale,MonthFrequency,WeekFrequency,Recency,MonthItems,WeekItems,MonthDistinctItems,WeekDistinctItems,EntropyMonth,EntropyWeek,CustomerLabel
1243,94,327,6.364,249.14,128,United Kingdom,20.761999999999997,4.9830000000000005,10.667,2.56,106,103.583,24.86,10.417,2.56,2.497,2.7119999999999997,high-spending
283,29,147,4.812,64.63,32,United Kingdom,6.462999999999999,1.5390000000000001,3.2,0.762,54,28.3,6.7379999999999995,3.2,0.762,1.431,1.431,medium-spending
755,79,758,6.297000000000001,163.07,80,United Kingdom,13.589,3.3280000000000003,6.667000000000001,1.633,1,62.917,15.408,6.667000000000001,1.633,0.085,0.085,medium-spending
98,11,66,3.418,32.6,12,United Kingdom,4.075,0.9590000000000001,1.5,0.353,110,12.25,2.8819999999999997,1.5,0.353,0.998,0.998,low-spending
414,34,174,5.005,113.83,44,United Kingdom,10.347999999999999,2.4219999999999997,4.0,0.9359999999999999,18,37.635999999999996,8.809,4.0,0.9359999999999999,2.0,2.256,medium-spending
257,29,64,4.84,82.09,30,United Kingdom,6.841,1.675,2.5,0.612,5,21.416999999999998,5.245,2.5,0.612,2.1790000000000003,2.747,medium-spending
55,7,40,2.807,19.12,7,United Kingdom,6.372999999999999,1.912,2.333,0.7,277,18.333,5.5,2.333,0.7,1.0,1.0,medium-spending
54,15,54,3.907,31.54,15,United Kingdom,31.54,7.885,15.0,3.75,320,54.0,13.5,15.0,3.75,1.0,1.0,high-spending
479,80,170,6.251,181.43,93,United Kingdom,15.119000000000002,3.78,7.75,1.9380000000000002,6,39.917,9.979,7.582999999999999,1.896,1.5719999999999998,1.5719999999999998,medium-spending
772,147,248,7.039,473.84,216,United Kingdom,43.076,10.082,19.636,4.596,17,70.182,16.426,18.273,4.447,2.597,2.926,high-spending
12,1,12,1.0,0.79,1,United Kingdom,0.079,0.019,0.1,0.024,24,1.2,0.28600000000000003,0.1,0.024,0.9179999999999999,0.9179999999999999,low-spending
521,51,177,5.577000000000001,169.71,67,United Kingdom,15.427999999999999,3.611,6.091,1.426,19,47.364,11.085,6.091,1.426,1.966,1.966,medium-spending
160,21,160,4.3919999999999995,46.76,21,United Kingdom,4.676,1.169,2.1,0.525,68,16.0,4.0,2.1,0.525,1.0,1.0,low-spending
79,26,79,4.681,53.83,27,United Kingdom,5.382999999999999,1.2819999999999998,2.7,0.643,51,7.9,1.881,2.6,0.619,1.0,1.0,medium-spending
141,17,141,4.087,43.23,17,United Kingdom,4.803,1.1079999999999999,1.889,0.436,72,15.667,3.615,1.889,0.436,0.242,0.242,low-spending
42,5,42,2.322,10.38,5,United Kingdom,0.9440000000000001,0.221,0.455,0.106,16,3.818,0.894,0.455,0.106,1.0,1.0,low-spending
1,2,1,1.0,1.44,2,Germany,0.72,0.28800000000000003,1.0,0.4,5,1.0,1.0,1.0,0.4,0.187,0.187,low-spending
249,17,44,3.778,76.75,32,United Kingdom,6.396,1.599,2.667,0.667,9,20.75,5.188,2.583,0.667,3.4939999999999998,4.449,medium-spending
542,143,127,6.995,324.01,186,United Kingdom,29.455,7.044,16.909000000000002,4.043,24,49.273,11.783,15.909,3.957,2.295,2.6460000000000004,high-spending
59,8,59,3.0,22.3,8,United Kingdom,22.3,7.433,8.0,2.667,326,59.0,19.667,8.0,2.667,1.0,1.0,high-spending
411,63,146,5.792000000000001,221.46,92,United Kingdom,18.455,4.52,7.667000000000001,1.8780000000000001,1,34.25,8.388,6.332999999999999,1.551,1.569,1.569,high-spending
24,2,24,1.0,2.5,2,United Kingdom,0.22699999999999998,0.053,0.182,0.043,19,2.182,0.511,0.182,0.043,1.0,1.0,low-spending
54,5,54,2.322,11.05,5,United Kingdom,1.579,0.368,0.7140000000000001,0.16699999999999998,134,7.7139999999999995,1.8,0.7140000000000001,0.16699999999999998,1.0,1.0,low-spending
166,22,166,4.459,39.68,22,United Kingdom,4.96,1.202,2.75,0.667,117,20.75,5.03,2.75,0.667,1.0,1.0,low-spending
104,41,104,5.297000000000001,67.06,45,United Kingdom,16.765,4.79,11.25,3.214,245,26.0,7.428999999999999,10.25,2.929,1.0,1.0,medium-spending
160,52,160,5.622999999999999,90.3,61,United Kingdom,12.9,3.344,8.714,2.259,157,22.857,5.926,7.428999999999999,1.926,1.0,1.0,medium-spending
545,50,192,5.5089999999999995,290.43,112,United Kingdom,26.403000000000002,6.314,10.182,2.435,26,49.545,11.847999999999999,10.182,2.435,2.187,2.187,high-spending
812,75,238,6.16,151.51,84,United Kingdom,13.774000000000001,3.443,7.636,1.909,39,73.818,18.455,7.636,1.909,2.273,2.841,medium-spending
347,36,178,5.07,127.55,47,United Kingdom,11.595,2.773,4.273,1.022,20,31.545,7.542999999999999,4.273,1.022,1.6540000000000001,1.6540000000000001,medium-spending
32,5,36,2.2359999999999998,19.85,7,United Kingdom,19.85,4.962,7.0,1.75,317,32.0,8.0,5.0,1.25,1.0,1.0,high-spending
172,40,121,5.297000000000001,79.58,42,United Kingdom,7.235,1.73,3.818,0.9129999999999999,19,15.636,3.739,3.727,0.8909999999999999,0.6629999999999999,1.124,medium-spending
137,20,128,4.322,58.58,20,United Kingdom,5.325,1.246,1.818,0.426,17,12.455,2.915,1.818,0.426,1.037,1.037,medium-spending
353,24,254,4.501,45.66,35,United Kingdom,3.805,0.932,2.917,0.7140000000000001,1,29.416999999999998,7.204,2.917,0.7140000000000001,1.036,1.036,low-spending
158,49,88,5.528,105.92,60,United Kingdom,9.629,2.354,5.455,1.3330000000000002,29,14.364,3.511,4.8180000000000005,1.178,0.956,0.956,medium-spending
1,1,1,1.0,3.75,1,United Kingdom,0.375,0.087,0.1,0.023,47,1.0,1.0,0.1,0.023,1.0,1.0,low-spending
2874,437,488,8.437000000000001,2194.54,936,United Kingdom,182.878,43.891000000000005,78.0,18.72,5,239.5,57.48,70.5,18.42,2.895,3.8930000000000002,high-spending
115,12,115,3.585,14.3,12,United Kingdom,14.3,0.275,12.0,0.231,342,115.0,2.2119999999999997,12.0,0.231,0.267,0.267,medium-spending
1724,228,194,7.574,810.17,379,United Kingdom,67.514,16.534000000000002,31.583000000000002,7.735,11,143.667,35.184,29.0,7.632999999999999,3.194,4.203,high-spending
1,3,24,1.5,10.4,8,United Kingdom,1.733,0.4,1.3330000000000002,0.308,165,1.0,1.0,1.0,0.231,0.9940000000000001,0.9940000000000001,low-spending
702,48,212,5.37,184.68,77,United Kingdom,15.39,3.8480000000000003,6.417000000000001,1.604,6,58.5,14.625,6.417000000000001,1.604,1.94,1.94,medium-spending
84,23,84,4.524,33.94,23,United Kingdom,8.485,2.424,5.75,1.643,244,21.0,6.0,5.75,1.643,1.0,1.0,medium-spending
208,19,158,4.2219999999999995,34.62,20,United Kingdom,11.54,2.885,6.667000000000001,1.6669999999999998,262,69.333,17.333,6.667000000000001,1.6669999999999998,0.9279999999999999,0.9279999999999999,medium-spending
201,16,66,3.846,48.77,20,Sweden,4.434,0.938,1.818,0.385,25,18.273,3.865,1.818,0.385,2.526,2.526,low-spending
12,1,12,1.0,3.39,1,United Kingdom,0.848,0.212,0.25,0.062,41,3.0,0.75,0.25,0.062,2.883,3.687,low-spending
436,65,194,5.945,170.52,81,United Kingdom,17.052,3.966,8.1,1.8840000000000001,24,43.6,10.14,6.9,1.767,0.649,1.416,medium-spending
10,9,10,3.17,17.6,9,United Kingdom,2.5140000000000002,0.629,1.286,0.321,150,1.429,0.35700000000000004,1.286,0.321,1.0,1.0,low-spending
1511,170,468,7.3260000000000005,361.56,202,United Kingdom,30.13,7.5329999999999995,16.833,4.208,9,125.917,31.479,16.5,4.146,1.661,2.238,high-spending
71,8,71,3.0,30.63,8,Norway,30.63,30.63,8.0,8.0,335,71.0,71.0,8.0,8.0,1.0,1.0,high-spending
120,10,120,3.322,16.84,10,United Kingdom,1.6840000000000002,0.41100000000000003,1.0,0.244,60,12.0,2.927,1.0,0.244,1.0,1.0,low-spending
48,4,48,2.0,5.8,4,United Kingdom,0.725,0.18100000000000002,0.5,0.125,121,6.0,1.5,0.5,0.125,1.0,1.0,low-spending
272,35,272,5.129,98.5,35,United Kingdom,10.944,2.526,3.889,0.897,72,30.221999999999998,6.974,3.889,0.897,1.0,1.0,medium-spending
83,34,45,5.059,90.23,36,United Kingdom,45.115,15.038,18.0,6.0,303,41.5,13.833,17.0,5.667000000000001,0.9990000000000001,0.9990000000000001,high-spending
73,8,78,2.948,18.62,9,Saudi Arabia,6.207000000000001,2.069,3.0,1.0,282,24.333000000000002,8.111,3.0,1.0,0.469,0.469,medium-spending
463,68,283,6.037000000000001,103.76,76,United Kingdom,17.293,4.716,12.667,3.455,191,77.167,21.045,12.667,3.455,0.982,0.982,medium-spending
43,12,43,3.585,35.99,12,United Kingdom,2.9989999999999997,0.72,1.0,0.24,356,3.583,0.86,1.0,0.24,1.0,1.0,low-spending
377,40,104,5.287000000000001,95.53,43,United Kingdom,9.552999999999999,2.222,4.3,1.0,45,37.7,8.767000000000001,4.3,1.0,1.9680000000000002,1.9680000000000002,medium-spending
634,63,218,5.935,135.42,69,United Kingdom,11.285,2.764,5.75,1.4080000000000001,5,52.833,12.939,5.75,1.4080000000000001,2.2969999999999997,2.353,medium-spending
114,52,114,5.664,89.71,56,United Kingdom,8.155,1.909,5.091,1.1909999999999998,19,10.364,2.426,4.727,1.1059999999999999,1.0,1.0,medium-spending
455,102,132,6.622000000000001,179.57,112,United Kingdom,16.325,3.821,10.182,2.383,19,41.364,9.681000000000001,10.182,2.383,2.25,2.385,medium-spending
216,21,132,4.3919999999999995,39.47,21,United Kingdom,3.588,0.858,1.909,0.457,24,19.636,4.696000000000001,1.909,0.457,1.0,1.0,low-spending
110,23,110,4.524,35.49,23,United Kingdom,3.549,0.887,2.3,0.575,67,11.0,2.75,2.3,0.575,1.0,1.0,low-spending
99,12,96,3.585,36.12,12,United Kingdom,3.612,0.903,1.2,0.3,63,9.9,2.475,1.2,0.3,0.696,0.696,low-spending
112,25,224,4.565,73.87,42,United Kingdom,9.234,2.173,5.25,1.235,107,14.0,3.2939999999999996,5.125,1.206,1.5,1.5,medium-spending
2517,114,210,6.472,769.74,320,Germany,64.145,15.093,26.666999999999998,6.275,1,209.75,49.353,22.75,5.98,3.3,4.4030000000000005,high-spending
348,94,220,6.507999999999999,135.88,104,United Kingdom,12.353,2.9539999999999997,9.455,2.261,22,31.636,7.565,8.545,2.043,1.0,1.0,medium-spending
6,1,6,1.0,2.95,1,United Kingdom,0.24600000000000002,0.057999999999999996,0.083,0.02,352,0.5,0.11800000000000001,0.083,0.02,1.0,1.0,low-spending
100,10,100,3.322,16.8,10,Spain,1.4,0.336,0.833,0.2,358,8.333,2.0,0.833,0.2,1.0,1.0,low-spending
1355,131,517,6.939,311.95,167,United Kingdom,28.359,6.6370000000000005,15.182,3.553,13,123.182,28.83,14.818,3.468,1.869,1.869,high-spending
48,4,36,2.0,4.57,4,United Kingdom,4.57,2.285,4.0,2.0,86,48.0,24.0,4.0,2.0,0.503,0.503,low-spending
18,5,24,2.322,6.65,5,United Kingdom,0.831,0.196,0.625,0.147,108,2.25,0.529,0.625,0.147,1.0,0.696,low-spending
196,44,81,5.377000000000001,112.68,57,United Kingdom,10.244000000000002,2.504,5.182,1.2670000000000001,29,17.817999999999998,4.356,5.182,1.2670000000000001,0.9840000000000001,0.9840000000000001,medium-spending
255,35,139,5.129,91.4,35,United Kingdom,30.467,8.309,11.667,3.182,267,85.0,23.182,11.667,3.182,0.9179999999999999,0.9179999999999999,high-spending
574,40,102,4.974,184.51,73,United Kingdom,15.376,3.69,6.082999999999999,1.46,43,47.833,11.48,5.75,1.4,2.659,2.945,medium-spending
136,20,113,4.252,51.26,24,United Kingdom,4.66,0.986,2.182,0.462,38,12.364,2.615,2.182,0.462,1.3659999999999999,1.3659999999999999,low-spending
34,3,34,1.585,3.55,3,United Kingdom,1.775,0.5920000000000001,1.5,0.5,666,17.0,5.667000000000001,1.5,0.5,1.0,1.0,low-spending
15,3,15,1.585,14.85,3,United Kingdom,1.485,0.354,0.3,0.071,53,1.5,0.35700000000000004,0.3,0.071,1.0,1.0,low-spending
505,49,106,5.5489999999999995,111.77,55,United Kingdom,9.314,2.235,4.583,1.1,23,42.083,10.1,4.5,1.1,2.336,2.72,medium-spending
1186,89,364,6.303,258.62,131,United Kingdom,23.511,5.747000000000001,11.909,2.911,27,107.818,26.355999999999998,11.636,2.867,2.516,2.6069999999999998,high-spending
42,4,42,2.0,7.9,4,United Kingdom,1.58,0.41600000000000004,0.8,0.21100000000000002,214,8.4,2.211,0.8,0.21100000000000002,1.0,1.0,low-spending
508,48,130,5.5329999999999995,95.68,54,United Kingdom,8.698,2.08,4.909,1.1740000000000002,22,46.181999999999995,11.043,4.909,1.1740000000000002,2.9530000000000003,2.9530000000000003,medium-spending
76,8,50,3.0,13.36,8,United Kingdom,1.67,0.405,1.0,0.242,114,9.5,2.303,1.0,0.242,0.981,0.981,low-spending
46,5,46,2.322,11.55,5,United Kingdom,1.155,0.282,0.5,0.122,60,4.6,1.122,0.5,0.122,1.0,1.0,low-spending
1891,106,157,6.242999999999999,445.31,209,United Kingdom,37.109,8.906,17.417,4.18,1,157.583,37.82,16.083,3.96,3.0380000000000003,3.513,high-spending
201,93,114,6.483,226.72,106,Unspecified,32.389,7.557,15.142999999999999,3.533,135,28.714000000000002,6.7,13.286,3.1,1.0,1.0,high-spending
1185,235,607,7.787000000000001,568.06,279,United Kingdom,51.641999999999996,12.624,25.364,6.2,30,107.727,26.333000000000002,25.090999999999998,6.132999999999999,1.6230000000000002,1.6230000000000002,high-spending
56,44,56,5.459,78.77,44,United Kingdom,19.692999999999998,5.626,11.0,3.1430000000000002,244,14.0,4.0,11.0,3.1430000000000002,1.0,1.0,high-spending
20,2,20,1.0,4.74,2,United Kingdom,0.5920000000000001,0.139,0.25,0.059000000000000004,107,2.5,0.588,0.25,0.059000000000000004,1.0,1.0,low-spending
2,2,2,1.0,2.95,2,United Kingdom,1.475,0.42100000000000004,1.0,0.28600000000000003,74,1.0,0.28600000000000003,1.0,0.28600000000000003,2.4290000000000003,2.4290000000000003,low-spending
927,96,322,6.466,295.16,116,United Kingdom,26.833000000000002,6.28,10.545,2.468,17,84.273,19.723,10.545,2.468,2.116,2.116,high-spending
945,149,528,7.122000000000001,408.88,182,United Kingdom,40.888000000000005,9.972999999999999,18.2,4.439,57,94.5,23.049,18.0,4.39,1.964,1.964,high-spending
24,2,12,1.0,3.1,2,United Kingdom,0.282,0.066,0.182,0.043,17,2.182,0.511,0.182,0.043,1.0859999999999999,1.0859999999999999,low-spending
223,19,64,4.056,63.24,26,United Kingdom,5.749,1.4369999999999998,2.364,0.591,36,20.273,5.0680000000000005,2.364,0.591,1.9409999999999998,1.9409999999999998,medium-spending
226,48,82,5.527,138.96,55,United Kingdom,15.44,3.86,6.111000000000001,1.528,174,25.111,6.278,6.0,1.5,1.9040000000000001,1.9040000000000001,medium-spending
2155,152,232,7.032,453.15,236,Germany,37.762,9.062999999999999,19.667,4.72,3,179.583,43.1,18.75,4.68,3.055,4.031000000000001,high-spending
225,21,115,4.282,60.89,27,United Kingdom,5.535,1.296,2.455,0.574,15,20.455,4.787,2.455,0.574,1.383,1.383,medium-spending
21,5,24,2.322,9.46,5,United Kingdom,0.7879999999999999,0.193,0.41700000000000004,0.102,2,1.75,0.429,0.41700000000000004,0.102,3.053,3.8989999999999996,low-spending
876,99,232,6.577999999999999,269.63,109,United Kingdom,22.469,5.287000000000001,9.083,2.137,159,73.0,17.176,9.083,2.137,2.85,2.878,high-spending
12,1,12,1.0,2.55,1,Spain,0.638,0.196,0.25,0.077,198,3.0,0.9229999999999999,0.25,0.077,0.8109999999999999,0.8109999999999999,low-spending
697,34,136,4.86,174.03,73,Italy,17.403,4.047,7.3,1.6980000000000002,47,69.7,16.209,6.7,1.6980000000000002,2.3819999999999997,2.8110000000000004,medium-spending
182,14,38,3.735,46.79,17,United Kingdom,4.678999999999999,1.088,1.7,0.395,11,18.2,4.2330000000000005,1.7,0.395,3.307,4.221,low-spending
235,23,235,4.524,33.94,23,United Kingdom,8.485,2.424,5.75,1.643,250,58.75,16.785999999999998,5.75,1.643,1.0,1.0,medium-spending
171,22,90,4.393,84.89,26,United Kingdom,8.488999999999999,1.974,2.6,0.605,45,17.1,3.977,2.5,0.581,1.3319999999999999,1.3319999999999999,medium-spending
217,13,72,3.543,59.29,25,United Kingdom,4.941,1.163,2.083,0.49,30,18.083,4.255,2.083,0.49,1.936,1.936,low-spending
175,18,90,3.9739999999999998,76.15,25,United Kingdom,15.23,3.6260000000000003,5.0,1.19,38,35.0,8.333,5.0,1.19,1.983,2.294,medium-spending
230,26,194,4.7,53.03,26,United Kingdom,5.892,1.36,2.889,0.667,71,25.555999999999997,5.897,2.889,0.667,1.0,1.0,medium-spending
256,34,256,5.087,90.08,34,Spain,22.52,5.63,8.5,2.125,233,64.0,16.0,8.5,2.125,1.0,1.0,high-spending
24,2,24,1.0,2.5,2,United Kingdom,0.25,0.057999999999999996,0.2,0.047,44,2.4,0.5579999999999999,0.2,0.047,1.0,1.0,low-spending
438,51,195,5.636,126.39,55,United Kingdom,15.799000000000001,3.95,6.875,1.719,123,54.75,13.687999999999999,6.5,1.625,0.8059999999999999,1.545,medium-spending
750,134,265,6.9479999999999995,368.72,174,United Kingdom,33.52,7.845,15.818,3.702,17,68.182,15.957,15.091,3.617,1.901,1.972,high-spending
168,69,111,6.074,148.9,74,United Kingdom,24.816999999999997,6.474,12.333,3.217,186,28.0,7.303999999999999,11.833,3.0869999999999997,0.888,0.888,high-spending
705,61,132,5.784,211.43,82,United Kingdom,21.143,4.917,8.2,1.9069999999999998,44,70.5,16.395,7.8,1.9069999999999998,2.6839999999999997,3.136,high-spending
78,10,68,3.322,24.4,10,United Kingdom,4.067,1.0170000000000001,1.6669999999999998,0.41700000000000004,176,13.0,3.25,1.6669999999999998,0.41700000000000004,0.787,0.787,low-spending
198,25,198,4.644,66.81,25,United Kingdom,33.405,11.135,12.5,4.167,120,99.0,33.0,12.5,4.167,0.162,0.162,high-spending
86,8,54,3.0,20.7,8,United Kingdom,2.3,0.545,0.889,0.21100000000000002,73,9.556000000000001,2.263,0.889,0.21100000000000002,2.269,2.376,low-spending
43,7,43,2.75,25.37,8,United Kingdom,4.228,1.103,1.3330000000000002,0.348,187,7.167000000000001,1.87,1.167,0.304,0.439,0.439,low-spending
130,15,130,3.907,38.95,15,United Kingdom,38.95,38.95,15.0,15.0,340,130.0,130.0,15.0,15.0,1.0,1.0,high-spending
84,6,54,2.5,12.23,8,United Kingdom,1.112,0.26,0.727,0.17,16,7.636,1.787,0.727,0.17,0.9940000000000001,0.9940000000000001,low-spending
110,12,110,3.585,29.82,12,United Kingdom,4.26,1.065,1.714,0.429,146,15.714,3.929,1.714,0.429,1.0,1.0,low-spending
220,30,220,4.907,81.46,30,Greece,13.577,3.542,5.0,1.304,181,36.667,9.565,5.0,1.304,1.0,1.0,medium-spending
71,9,71,3.17,24.75,9,United Kingdom,4.95,1.179,1.8,0.429,157,14.2,3.3810000000000002,1.8,0.429,0.25,0.25,low-spending
248,23,190,4.484,23.67,25,United Kingdom,4.734,1.246,5.0,1.3159999999999998,215,49.6,13.052999999999999,5.0,1.3159999999999998,0.883,0.883,low-spending
810,55,186,5.655,205.83,83,United Kingdom,17.152,4.0360000000000005,6.917000000000001,1.6269999999999998,60,67.5,15.882,6.332999999999999,1.5290000000000001,2.209,2.522,medium-spending
1,1,1,1.0,0.85,1,United Kingdom,0.077,0.019,0.091,0.023,38,1.0,1.0,0.091,0.023,1.557,1.8419999999999999,low-spending
23,7,23,2.807,18.25,7,United Kingdom,6.082999999999999,2.028,2.333,0.778,283,7.667000000000001,2.556,2.333,0.778,1.0,1.0,medium-spending
67,8,67,2.948,17.79,9,United Kingdom,1.482,0.35600000000000004,0.75,0.18,359,5.582999999999999,1.34,0.667,0.16,1.0,0.8109999999999999,low-spending
68,6,68,2.585,10.38,6,United Kingdom,0.9440000000000001,0.226,0.545,0.13,26,6.182,1.4780000000000002,0.545,0.13,1.0,1.0,low-spending
748,65,302,5.94,210.39,79,United Kingdom,21.039,4.893,7.9,1.837,46,74.8,17.395,7.9,1.837,1.933,1.933,high-spending
59,11,59,3.4589999999999996,39.05,11,Germany,5.579,1.5019999999999998,1.571,0.423,160,8.429,2.269,1.571,0.423,1.0,1.0,medium-spending
312,14,72,3.589,66.31,43,United Kingdom,6.631,1.579,4.3,1.024,52,31.2,7.428999999999999,3.4,0.833,2.491,2.5639999999999996,medium-spending
413,89,137,6.397,211.05,104,United Kingdom,30.15,7.537999999999999,14.857000000000001,3.714,146,59.0,14.75,13.714,3.536,1.3419999999999999,1.9569999999999999,high-spending
136,16,136,4.0,38.75,16,United Kingdom,9.687999999999999,2.583,4.0,1.067,243,34.0,9.067,4.0,1.067,1.0,1.0,medium-spending
490,49,196,5.468999999999999,147.43,57,United Kingdom,12.286,3.009,4.75,1.163,1,40.833,10.0,4.75,1.163,2.877,2.923,medium-spending
12,2,12,1.0,5.9,2,United Kingdom,0.738,0.16899999999999998,0.25,0.057,101,1.5,0.34299999999999997,0.25,0.057,1.338,1.338,low-spending
263,31,170,4.805,102.47,39,United Kingdom,8.539,2.009,3.25,0.765,1,21.916999999999998,5.157,3.0,0.745,1.651,1.9580000000000002,medium-spending
69,7,54,2.6460000000000004,30.8,10,United Kingdom,5.132999999999999,1.232,1.6669999999999998,0.4,173,11.5,2.76,1.3330000000000002,0.4,0.9179999999999999,1.4,low-spending
191,21,99,4.3919999999999995,64.89,21,United Kingdom,8.111,1.909,2.625,0.618,110,23.875,5.617999999999999,2.625,0.618,0.966,0.966,medium-spending
139,20,127,4.322,54.4,20,United Kingdom,10.88,2.59,4.0,0.9520000000000001,201,27.8,6.619,4.0,0.9520000000000001,0.677,0.677,medium-spending
56,6,56,2.585,12.54,6,United Kingdom,1.045,0.256,0.5,0.122,2,4.667,1.143,0.5,0.122,1.0,1.0,low-spending
190,20,190,4.322,35.2,20,United Kingdom,3.911,0.9259999999999999,2.222,0.526,76,21.111,5.0,2.222,0.526,1.0,1.0,low-spending
140,9,46,3.085,32.45,13,United Kingdom,2.95,0.705,1.182,0.28300000000000003,22,12.727,3.043,1.091,0.28300000000000003,1.7519999999999998,2.51,low-spending
